title,price,image,link
Flopsie Women Flopsie Stylish Soft Comfortable Lightweight Dailywear Slippers - Buy Flopsie Women Flopsie Stylish Soft Comfortable Lightweight Dailywear Slippers Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹195,http://rukmini1.flixcart.com/image/300/300/xif0q/slipper-flip-flop/a/g/y/-original-imahfz7zgeskgcgw.jpeg,https://www.flipkart.com/flopsie-women-stylish-soft-comfortable-lightweight-dailywear-slippers/p/itme457640427578?pid=SFFH6U8TYU5GAPHN&lid=LSTSFFH6U8TYU5GAPHN0ZKUSK&marketplace=FLIPKART
Deals4you Sneakers For Women - Buy Deals4you Sneakers For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹423,http://rukmini1.flixcart.com/image/300/300/xif0q/shopsy-shoe/4/o/r/6-875-mlt-6-deals4you-multi-original-imahgucfjdknvu92.jpeg,https://www.flipkart.com/deals4you-sneakers-women/p/itmfe58f4b5b1425?pid=SHOGGFYT7PGH5WEP&lid=LSTSHOGGFYT7PGH5WEPXFX1TT&marketplace=FLIPKART&store=osp%2Fiko&srno=b_8_292&otracker=browse&fm=organic&iid=en_90j1sOJDQs5AYEJKavcmpT9MFmOCzduRNL8oxh2-tFQtRzSas5omlufR2uCalRk1RzPjvfvtNDKEAceJrIsC-A%3D%3D&ppt=browse&ppn=browse&ssid=705zzm9wts0000001768217761040
Flopsie Women Flopsie Women Stylish Soft Comfortable Slipper Lightweight Dailywear Slippers - Buy Flopsie Women Flopsie Women Stylish Soft Comfortable Slipper Lightweight Dailywear Slippers Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹195,http://rukmini1.flixcart.com/image/300/300/xif0q/slipper-flip-flop/a/g/y/-original-imahfz7zgeskgcgw.jpeg,https://www.flipkart.com/flopsie-women-stylish-soft-comfortable-slipper-lightweight-dailywear-slippers/p/itme457640427578?pid=SFFH6U8THFPYZHFA&lid=LSTSFFH6U8THFPYZHFARVBL33&marketplace=FLIPKART&store=osp%2Fiko&srno=b_2_41&otracker=browse&fm=organic&iid=en_x6yjAkyKKB3nqAEAYJnY8YosT-505p4h-zagaOf95kNqcooUjkLasFchg_0AyuQ8-c5GgTdDjE-lyEAq8HSJWQ%3D%3D&ppt=browse&ppn=browse&ssid=mqj3z5bmm80000001768217606683
CAMPUS ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women - Buy CAMPUS ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,"₹1,001",http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/s/x/f/7-22l-204-7-campus-prpl-sil-original-imahj4bfugzecg7g.jpeg,https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itm6949640c6e097?pid=SHOGAA3TFEJXSNGY&lid=LSTSHOGAA3TFEJXSNGYNXFODD&marketplace=FLIPKART&store=osp%2Fiko&srno=b_3_114&otracker=browse&fm=organic&iid=6c44bfeb-343c-45c8-91a5-ad71489c88b8.SHOGAA3TFEJXSNGY.SEARCH&ppt=browse&ppn=browse&ssid=klhjglhwnk0000001768217633159
VENDOZ GLITTERY PARTY WEDDING AND CASUAL WEAR Sneakers For Women Sneakers For Women - Buy VENDOZ GLITTERY PARTY WEDDING AND CASUAL WEAR Sneakers For Women Sneakers For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹787,http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/t/f/a/-original-imahftquyjyrgg59.jpeg,https://www.flipkart.com/vendoz-glittery-party-wedding-casual-wear-sneakers-women/p/itm8af3802262ff4?pid=SHOHAYTRQEMFVKZJ&lid=LSTSHOHAYTRQEMFVKZJANECIA&marketplace=FLIPKART&store=osp%2Fiko&srno=b_6_209&otracker=browse&fm=organic&iid=f0ec5d5e-8cde-411a-b47a-397608c662d8.SHOHAYTRQEMFVKZJ.SEARCH&ppt=browse&ppn=browse&ssid=4gjh0jlq4w0000001768217711169
DEFLOW Women Clogs - Buy DEFLOW Women Clogs Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹344,http://rukmini1.flixcart.com/image/300/300/xif0q/shopsy-sandal/v/7/t/8-lc-clogs-8-cogs-grey-blue-original-imah8xv7q2wnp4ht.jpeg,https://www.flipkart.com/deflow-women-clogs/p/itmf64b27d38b490?pid=SNDH8XHVKT6C6VFT&marketplace=FLIPKART
Deals4you Sneakers For Women - Buy Deals4you Sneakers For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹423,http://rukmini1.flixcart.com/image/300/300/xif0q/shopsy-shoe/4/o/r/6-875-mlt-6-deals4you-multi-original-imahgucfjdknvu92.jpeg,https://www.flipkart.com/deals4you-sneakers-women/p/itmfe58f4b5b1425?pid=SHOGGFYT7PGH5WEP&lid=LSTSHOGGFYT7PGH5WEPXFX1TT&marketplace=FLIPKART&store=osp%2Fiko&srno=b_6_211&otracker=browse&fm=organic&iid=en_DHyyia2zVaKJYkBZRWUZsaEm2ggdspPMxqZfb-6ZlH2gCs05ka8_rj32niJpcuydkAgTrNhvAGXogUG8oKD1wg%3D%3D&ppt=browse&ppn=browse&ssid=4gjh0jlq4w0000001768217711169
RED TAPE Women's Lifestyle Sneakers for Elevated Everyday Style Sneakers For Women - Buy RED TAPE Women's Lifestyle Sneakers for Elevated Everyday Style Sneakers For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,"₹1,116",http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/x/2/y/-original-imahgaz4ymhfzpyy.jpeg,https://www.flipkart.com/red-tape-women-s-lifestyle-sneakers-elevated-everyday-style-women/p/itm589703a783540?pid=SHOHFMV2YVRXVVF7&lid=LSTSHOHFMV2YVRXVVF7NLMSS7&marketplace=FLIPKART&store=osp%2Fiko&srno=b_2_54&otracker=browse&fm=organic&iid=39cc5d6e-266c-47b1-bea9-ef8dbf219e2d.SHOHFMV2YVRXVVF7.SEARCH&ppt=browse&ppn=browse&ssid=mqj3z5bmm80000001768217606683
TWO SOFT Comfortable Extra Soft Lightweight Casual Trendy Stylish Women Wedges - Buy TWO SOFT Comfortable Extra Soft Lightweight Casual Trendy Stylish Women Wedges Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹194,http://rukmini1.flixcart.com/image/300/300/xif0q/sandal/u/y/i/5-mp-009-blk-5-two-soft-black-original-imah59czcnxwctu8.jpeg,https://www.flipkart.com/two-soft-comfortable-extra-lightweight-casual-trendy-stylish-women-wedges/p/itm38274d3479970?pid=SNDGRPVPDCNVDC6Z&lid=LSTSNDGRPVPDCNVDC6ZGYUJWW&marketplace=FLIPKART&store=osp%2Fiko&srno=b_2_58&otracker=browse&fm=organic&iid=en_x6yjAkyKKB3nqAEAYJnY8YosT-505p4h-zagaOf95kOP28swR_Ck2g2sETdUH2xfoB6XGnlXST8xik65-wmv-w%3D%3D&ppt=browse&ppn=browse&ssid=mqj3z5bmm80000001768217606683
Deals4you Sneakers For Women - Buy Deals4you Sneakers For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹420,http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/l/d/o/6-2030-ogiy-wt-deals4you-white-original-imahfxm6ddsp5awr.jpeg,https://www.flipkart.com/deals4you-sneakers-women/p/itm44e3ef9c2a18c?pid=SHOHFXMBNTBRJJTR&lid=LSTSHOHFXMBNTBRJJTRIAGPR7&marketplace=FLIPKART&store=osp%2Fiko&srno=b_10_394&otracker=browse&fm=organic&iid=9433fc77-955d-44d5-9d78-2134b4951336.SHOHFXMBNTBRJJTR.SEARCH&ppt=browse&ppn=browse&ssid=0lcxqjy7lc0000001768217813328
CAMPUS ZOE PLUS Women's Casual Shoes | Memory Foam Insole with Pillo Foam | Slip On Walking Shoes For Women - Buy CAMPUS ZOE PLUS Women's Casual Shoes | Memory Foam Insole with Pillo Foam | Slip On Walking Shoes For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹799,http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/t/7/r/8-10g-149-8-campus-d-prpl-l-pink-original-imahj4bf9e7hafmu.jpeg,https://www.flipkart.com/campus-zoe-plus-women-s-casual-shoes-memory-foam-insole-pillo-slip-walking-women/p/itme2a0ec4d905e0?pid=SHOFXFETM7TGHHYJ&lid=LSTSHOFXFETM7TGHHYJPA6XPH&marketplace=FLIPKART
Doctor Health Super Soft Newly Launch | Classic Ultra Soft | Memory Foam | Comfortable|Stylish|Trendy Bellies For Women - Buy Doctor Health Super Soft Newly Launch | Classic Ultra Soft | Memory Foam | Comfortable|Stylish|Trendy Bellies For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹498,http://rukmini1.flixcart.com/image/300/300/xif0q/shopsy-shoe/x/9/2/6-sh-dhss-215-elegant-pink-39-0-doctor-health-super-soft-pink-original-imahgybq88kzffgd.jpeg,https://www.flipkart.com/doctor-health-super-soft-newly-launch-classic-ultra-memory-foam-comfortable-stylish-trendy-bellies-women/p/itm3964abf0d7553?pid=SHOH7N79HJHGQFXQ&lid=LSTSHOH7N79HJHGQFXQYZXXMW&marketplace=FLIPKART&store=osp%2Fiko&srno=b_10_365&otracker=browse&fm=organic&iid=en_3dUWU43jpo-qaduAE1LpOAfxHDghg0G-M7HYrkbdc38znfvFKhR_4wwNJX3zYmxI5D4ANijn7C2rCfnaklZCpQ%3D%3D&ppt=browse&ppn=browse&ssid=0lcxqjy7lc0000001768217813328
TWO SOFT Comfortable Extra Soft Lightweight Casual Trendy Stylish Women Wedges - Buy TWO SOFT Comfortable Extra Soft Lightweight Casual Trendy Stylish Women Wedges Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹194,http://rukmini1.flixcart.com/image/300/300/xif0q/sandal/u/y/i/5-mp-009-blk-5-two-soft-black-original-imah59czcnxwctu8.jpeg,https://www.flipkart.com/two-soft-comfortable-extra-lightweight-casual-trendy-stylish-women-wedges/p/itm38274d3479970?pid=SNDGRPVPDCNVDC6Z&lid=LSTSNDGRPVPDCNVDC6ZGYUJWW&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_17&otracker=browse&fm=organic&iid=en_oGj4EQjPtVxUkphKbbO9tOl2TMZI1UhX-YSDPOemZmKO6xTOOoc20zJZETUaZf8u4KxbQW8VX3glxsVFxaaC6A%3D%3D&ppt=None&ppn=None&ssid=esu6e3h0kg0000001768217578205
TWO SOFT Women Combo Pack Of 2 Stylish Casual Light & Soft Comfortable Daily Wear Slippers - Buy TWO SOFT Women Combo Pack Of 2 Stylish Casual Light & Soft Comfortable Daily Wear Slippers Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹263,http://rukmini1.flixcart.com/image/300/300/xif0q/slipper-flip-flop/f/1/z/-original-imahftr8j3edee4f.jpeg,https://www.flipkart.com/two-soft-women-combo-pack-2-stylish-casual-light-comfortable-daily-wear-slippers/p/itm52d5fb8753745?pid=SFFGMBGHBKTXYZ3S&lid=LSTSFFGMBGHBKTXYZ3SOWUFV9&marketplace=FLIPKART&store=osp%2Fiko&srno=b_2_47&otracker=browse&fm=organic&iid=en_x6yjAkyKKB3nqAEAYJnY8YosT-505p4h-zagaOf95kNPyLyfqkzg0ZZO5cVtCYpjw4wxH2uVoqXaKrtSPTtxFA%3D%3D&ppt=browse&ppn=browse&ssid=mqj3z5bmm80000001768217606683
Fabbmate Casual Sportshoe Girl Sneakers For Women - Buy Fabbmate Casual Sportshoe Girl Sneakers For Women Online at Best Price - Shop Online for Footwears in India | Flipkart.com,₹447,http://rukmini1.flixcart.com/image/300/300/xif0q/shoe/y/o/8/-original-imahgybzagp4fb5z.jpeg,https://www.flipkart.com/fabbmate-casual-sportshoe-girl-sneakers-women/p/itm13d239387dce2?pid=SHOH2W6ZRWRHXJK8&lid=LSTSHOH2W6ZRWRHXJK8JNPKZH&marketplace=FLIPKART&store=osp%2Fiko&srno=b_4_138&otracker=browse&fm=organic&iid=en_WHhG8YsXXwkiRjUYlmwgD9BAqwGJuWbnzd4bjAFgi-jhtC5o74SxWflix2GoLP9H46Whpst-zsK5PHEMFVtemw%3D%3D&ppt=browse&ppn=browse&ssid=1c4h6t4nm80000001768217660033
